location_resolved,display_date,title,harga,Merek,Model,Varian,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Tipe bodi,Kapasitas mesin,Tipe Penjual,Nama Bursa Mobil
Umbulharjo,2022-12-07T10:38:48+0000,Toyota Avanza 2010 Bensin,94000000.0,Toyota,Avanza,1.3 G Bensin-AT,2010,195.000-200.000,Bensin,Abu-abu,Automatic,,,Individu,
Kotagede,2022-12-06T08:45:18+0000,Fortuner TRD 2018 pajak baru like new sudah nano ceramic,458000000.0,Toyota,Fortuner,2.4 4x2 VRZ TRD Solar-AT,2018,40.000-45.000,Diesel,Hitam,Automatic,Jeep,>2.000 - 3.000 cc,Diler,Carsentro Yogyakarta
Kotagede,2022-12-06T06:17:52+0000,Toyota Kijang Innova 2010 Hybrid,136000000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2010,135.000-140.000,Hybrid,Hitam,Automatic,Minibus,>1.500 - 2.000 cc,Diler,
Kotagede,2022-12-06T04:57:12+0000,Kijang Inova Type G Bensin 2.0 2013,172000000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2013,105.000-110.000,Bensin,Silver,Automatic,Minibus,>1.500 - 2.000 cc,Individu,
Umbulharjo,2022-12-06T02:35:32+0000,FORTUNER 2011 BENSIN MATIC,197000000.0,Toyota,Fortuner,2.7 TRD Bensin-AT,2011,95.000-100.000,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,,
Umbulharjo,2022-12-06T01:52:18+0000,Toyota Corona Absolute 1996 Silver,33000000.0,Toyota,Corona,2.0 Bensin-MT,1996,195.000-200.000,Bensin,Silver,Manual,Sedan,>1.500 - 2.000 cc,Individu,
Umbulharjo,2022-12-05T17:09:27+0000,(TDP 18 Jt) All New Fortuner VRZ AT 2016,375000000.0,Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2016,70.000-75.000,Diesel,Hitam,Automatic,SUV,>2.000 - 3.000 cc,Diler,
Umbulharjo,2022-12-04T15:23:57+0000,(KM 80 Rb) Grand Innova 2.5 G Diesel AT 2014/2015,240000000.0,Toyota,Kijang Innova,2.5 G Solar-AT,2014,80.000-85.000,Diesel,Abu-abu,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Umbulharjo,2022-11-23T03:11:58+0000,Dp 25jt  FORTUNER Diesel 2009 AB metik / FORTUNER Solar Bisa tt pajero,205000000.0,Toyota,Fortuner,2.5 G Solar,2009,95.000-100.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,,
Umbulharjo,2022-12-04T09:43:53+0000,(TDP 38 Jt) Innova Reborn 2.4 G Diesel AT 2018,325000000.0,Toyota,Kijang Innova,2.4 G Solar-AT,2018,70.000-75.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Umbulharjo,2022-12-03T09:03:54+0000,Toyota FT 2016 Bensin,650000000.0,Toyota,FT,2.0 Bensin-AT,2016,35.000-40.000,Bensin,Putih,Automatic,Sedan,>1.500 - 2.000 cc,Individu,
Umbulharjo,2022-12-03T07:06:38+0000,Toyota Yaris 2018 matic low km,191000000.0,Toyota,Yaris,1.5 G Bensin-AT,2018,30.000-35.000,Bensin,Abu-abu,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Umbulharjo,2022-12-03T07:05:12+0000,Toyota Agya 2014 Bensin,90000000.0,Toyota,Agya,1.0 G Bensin-MT,2014,65.000-70.000,Bensin,Putih,Manual,,,Individu,
Kotagede,2022-12-02T22:03:42+0000,Toyota Rush S matic 2013,155000000.0,Toyota,Rush,1.5 S Bensin-AT,2013,100.000-105.000,Bensin,Hitam,Automatic,Minibus,>1.000 - 1.500 cc,Individu,
Umbulharjo,2022-12-02T01:01:38+0000,Toyota Avanza Veloz 1.3 2015 AT,159000000.0,Toyota,Avanza,1.3 Veloz Bensin-AT,2015,85.000-90.000,Bensin,Putih,Automatic,,,Diler,
Umbulharjo,2022-12-01T14:27:58+0000,NEW VIOS G MATIC 2013/14 ISTIMEWA,144500000.0,Toyota,Vios,1.5 G Bensin-AT,2013,85.000-90.000,Bensin,Hitam,Automatic,Sedan,>1.000 - 1.500 cc,Individu,
Umbulharjo,2022-12-01T04:41:50+0000,(DP 28JT) Toyota Innova 2.0 V Matic 2012,173000000.0,Toyota,Kijang Innova,2.0 V Bensin-AT,2012,90.000-95.000,Bensin,Putih,Automatic,MPV,>1.500 - 2.000 cc,Diler,
Kotagede,2022-11-30T23:03:34+0000,Toyota Kijang 1997 Bensin,65000000.0,Toyota,Kijang,1.8 SGX Bensin-MT,1997,195.000-200.000,Bensin,Merah,Manual,,,Individu,
Kotagede,2022-11-29T03:31:19+0000,[Simpanan] Toyota Innova Reborn 2.4 G At 2016 // Upgrade Facelift,325000000.0,Toyota,Kijang Innova,2.4 G Solar-AT,2016,45.000-50.000,Diesel,Putih,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Umbulharjo,2022-11-28T19:04:19+0000,Dp 11jt Toyota Rush S 2012 Matic/ Rush Metik,131000000.0,Toyota,Rush,1.5 S GR Sport Bensin-AT,2012,95.000-100.000,Bensin,Putih,Automatic,SUV,>1.000 - 1.500 cc,,
Kotagede,2022-11-28T06:26:46+0000,(Dp 29 Jt) Toyota NAV1 V Limited At 2016 // Mobil Siap Pakai,219000000.0,Toyota,Nav1,2.0 V Limited Bensin,2016,65.000-70.000,Bensin,Hitam,Automatic,MPV,>1.500 - 2.000 cc,Diler,
Kotagede,2022-11-28T03:03:22+0000,[Bisa Kredit] Toyota Yaris TRD Sportivo At 2014 // Mobil Siap Pakai,155000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin,2014,80.000-85.000,Bensin,Hitam,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,
Umbulharjo,2022-11-28T02:42:14+0000,Avanza 2019 face life 190 jadi atas nama,190000000.0,Toyota,Avanza,1.3 G Bensin,2019,100.000-105.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,Carsentro Yogyakarta
Umbulharjo,2022-11-28T02:37:04+0000,Toyota Fortuner vrz Trd 2018 Diesel,465000000.0,Toyota,Fortuner,2.4 4x2 VRZ TRD Solar-AT,2018,45.000-50.000,Diesel,Hitam,Automatic,,,Individu,
Kotagede,2022-11-28T02:36:01+0000,DIJUAL Great Corolla 1995. Nota peremajaan terlampir.,58000000.0,Toyota,Great Corolla,1.6 Bensin-MT,1995,205.000-210.000,Bensin,Merah,Manual,Sedan,>1.500 - 2.000 cc,Individu,
Umbulharjo,2022-11-28T00:30:10+0000,Toyota Corolla 1994 Bensin,53000000.0,Toyota,Corolla,1.6 Bensin,1994,>300.000,Bensin,Abu-abu,Manual,,,Individu,
Mantrijeron,2022-11-27T12:50:38+0000,Toyota Starlet 1985 Bensin,30000000.0,Toyota,Starlet,1.0 EP Bensin,<1986,195.000-200.000,Bensin,Putih,Manual,,,Individu,
Kotagede,2022-11-27T07:31:01+0000,[Dp 15 Jt] TOYOTA AGYA G At 2014 // Mobil Siap Pakai,93000000.0,Toyota,Agya,1.0 G Bensin,2014,55.000-60.000,Bensin,Silver,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,
Umbulharjo,2022-11-26T15:54:27+0000,Dp 11jt. TOYOTA AGYA TRD Matic KM 52rb. TOYOTA AGYA G TRD 2014 AT,91000000.0,Toyota,Agya,1.0 G TRD Sportivo Bensin,2014,50.000-55.000,Bensin,Putih,Automatic,Compact & City Car,<1.000 cc,,
Kotagede,2022-11-25T03:16:43+0000,Toyota agya 2021 metik TRD SPORTIVO GR sport nik 2021 kuning lemon,160000600.0,Toyota,Agya,1.2 GR Sport Bensin,2021,20.000-25.000,Bensin,Kuning,Automatic Triptonic,Hatchback,>1.000 - 1.500 cc,Individu,
Umbulharjo,2022-11-24T17:47:57+0000,DP 15jt. TOYOTA AVANZA G 2015/2016 MATIC/ GRAND AVANZA bisa tt calya,135000000.0,Toyota,Avanza,1.3 G Bensin-AT,2015,85.000-90.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,,
Umbulharjo,2022-11-24T13:21:52+0000,Vellfire 2009 A/T Seri Tertinggi,285000000.0,Toyota,Vellfire,2.4 V Bensin-AT,2009,120.000-125.000,Bensin,Hitam,Automatic,SUV,>2.000 - 3.000 cc,Individu,
Umbulharjo,2022-11-24T01:56:02+0000,"New Agya 2021 asli AB 1,2cc M/T",133000000.0,Toyota,Agya,1.2 G Bensin-MT,2021,30.000-35.000,Bensin,Putih,Manual,Compact & City Car,>1.000 - 1.500 cc,Individu,
Kotagede,2022-11-23T12:05:19+0000,Yaris TRD AT 2015/14,175000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin,2015,90.000-95.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,Individu,
Mantrijeron,2022-11-22T20:09:01+0000,Toyota Harrier 2000 Bensin,60000000.0,Toyota,Harrier,3.0 Bensin,2000,135.000-140.000,Bensin,Biru,Automatic,,,Individu,
Mantrijeron,2022-11-22T11:19:28+0000,DI JUAL TOYOTA FT86 2016 BU PAJAK AKTIF,570000000.0,Toyota,FT86,toyota-ft86-other,2016,55.000-60.000,Bensin,Putih,Automatic,Sports & Super Car,>1.500 - 2.000 cc,Individu,
Kotagede,2022-10-20T23:13:21+0000,Rush Ultimo TRD AT 17,185000000.0,Toyota,Rush,1.5 TRD Sportivo 7 Bensin,2017,65.000-70.000,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,,
Sewon,2022-12-13T06:29:36+0000,New Yaris 2014 TRD Manual,163000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2014,70.000-75.000,Bensin,Oranye,Manual,Hatchback,>1.000 - 1.500 cc,,
Banguntapan,2022-12-13T02:00:56+0000,Toyota Sienta 1.5Q Limited Matic 2017 // BISA KREDIT!!,200000000.0,Toyota,Sienta,1.5 Q Bensin-AT,2017,40.000-45.000,Bensin,Merah,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Kasihan,2022-12-13T01:05:45+0000,Toyota Hilux 2.5 Single Cabin 2013 AB Tangan Pertama Ori Manual Diesel,160000000.0,Toyota,HILUX,hilux-2.5-single-cab-solar,2013,115.000-120.000,Diesel,Putih,Manual,Pick-up,>2.000 - 3.000 cc,Individu,
Banguntapan,2022-12-12T19:31:51+0000,Toyota All New Vios 1.5G Matic 2018 // BISA KREDIT!!,188000000.0,Toyota,Vios,1.5 G Bensin-AT,2018,35.000-40.000,Bensin,Hitam,Automatic,Sedan,>1.000 - 1.500 cc,Individu,
Sewon,2022-12-12T10:23:20+0000,Innova reborn jual SANTAI,260000000.0,Toyota,Kijang Innova,2.4 G Solar-MT,2018,160.000-165.000,Diesel,Hitam,Manual,MPV,>2.000 - 3.000 cc,Individu,
Banguntapan,2022-12-11T04:57:46+0000,"Kijang innova Innova diesel E 
An sendiri plat ab bantul pajak panjang",205000000.0,Toyota,Kijang Innova,2.5 E Solar-MT,2012,160.000-165.000,Diesel,Abu-abu,Manual,MPV,>2.000 - 3.000 cc,Individu,
Sewon,2022-12-10T22:31:56+0000,Toyota Avanza G murah tinggal pake siap tt,104000000.0,Toyota,Avanza,1.3 G Bensin-AT,2012,0-5.000,Bensin,Silver,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Pleret,2022-12-10T10:18:12+0000,Inova g manual km 97ribu,133000000.0,Toyota,Kijang Innova,2.0 G Bensin-MT,2011,85.000-90.000,Bensin,Silver,Manual,MPV,>1.500 - 2.000 cc,Individu,
Banguntapan,2022-12-10T07:53:39+0000,Toyota Avanza 2018 Hybrid,170000000.0,Toyota,Avanza,1.3 G Bensin-MT,2018,35.000-40.000,Hybrid,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Piyungan,2022-12-10T06:37:03+0000,(dp19jt)km45rb avanza veloz 1.5cc matic,209000000.0,Toyota,Avanza,1.5 Veloz Bensin-AT,2019,45.000-50.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Piyungan,2022-12-10T06:13:28+0000,(dp29jt)km7rb veloz 1.5cc 2020 asli ab full original,214000000.0,Toyota,Avanza,1.5 Veloz Bensin-MT,2020,5.000-10.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Diler,
Piyungan,2022-12-10T05:33:24+0000,(dp45jt)km80rb fortuner vnt trd,255000000.0,Toyota,Fortuner,2.5 G TRD Solar-AT,2013,75.000-80.000,Diesel,Silver,Automatic,Jeep,>2.000 - 3.000 cc,Diler,
Kasihan,2022-12-10T04:56:57+0000,Calya 2017/2018 AB Sleman,110000000.0,Toyota,Calya,1.2 E Bensin-MT,2017,90.000-95.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Individu,
Pleret,2022-12-09T08:35:50+0000,Avansa G manual,177000000.0,Toyota,Avanza,1.3 G Bensin-MT,2019,55.000-60.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,
Pleret,2022-12-09T07:18:00+0000,Inova G manual km asli 50ribu,218000000.0,Toyota,Kijang Innova,2.0 G Bensin-MT,2015,45.000-50.000,Bensin,Hitam,Manual,MPV,>1.500 - 2.000 cc,Individu,
Sewon,2022-12-09T06:36:11+0000,DIJUAL CEPAT HIACE COMMUTER 2018 DI JOGJA,450000000.0,Toyota,Hiace,2.5 Commuter Solar-MT,2018,140.000-145.000,Diesel,Abu-abu,Manual,Minibus,>2.000 - 3.000 cc,Individu,
Banguntapan,2022-12-09T06:34:27+0000,Avanza Veloz 1.3 AT 2017 Silver,149000000.0,Toyota,Avanza,1.3 Veloz Bensin-AT,2017,80.000-85.000,Bensin,Silver,Automatic,,,,
Kasihan,2022-12-09T04:26:07+0000,Toyota Yaris TRD S manual 2015 AB,169000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2015,65.000-70.000,Bensin,Hitam,Manual,Hatchback,>1.500 - 2.000 cc,,
Berbah,2022-12-09T02:39:23+0000,Toyota Calya 2017 Bensin,122000000.0,Toyota,Calya,1.2 G Bensin-MT,2017,65.000-70.000,Bensin,Hitam,Manual,,,Individu,
Kasihan,2022-12-08T14:28:35+0000,Toyota Vios tipe G matic 2012,120000000.0,Toyota,Vios,1.5 G Bensin-AT,2012,60.000-65.000,Bensin,Silver,Automatic,Sedan,>1.000 - 1.500 cc,Individu,
Sewon,2022-12-08T08:51:35+0000,Avanza Veloz 1.5 A/T 2012,119000000.0,Toyota,Avanza,1.5 Veloz Bensin-AT,2012,125.000-130.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Pleret,2022-12-08T04:42:27+0000,Inova G metic bensin asli ab,260500000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2018,65.000-70.000,Bensin,Abu-abu,Automatic,MPV,>1.500 - 2.000 cc,Individu,
Banguntapan,2022-12-08T03:10:43+0000,Toyota Camry 2017 Hybrid,385000000.0,Toyota,Camry,2.5 Hybrid-AT,2017,115.000-120.000,Hybrid,Hitam,Automatic,,,Individu,
Berbah,2022-12-07T23:14:04+0000,Toyota Alphard 2010 Bensin kondisi Premium,265000000.0,Toyota,Alphard,2.4 Bensin-AT,2010,65.000-70.000,Bensin,Hitam,Automatic,,,Individu,
Banguntapan,2022-12-07T16:40:30+0000,toyota kijang super th 87 mulus banget,25500000.0,Toyota,Kijang Super,1.5 Bensin-MT,1987,50.000-55.000,Bensin,Hijau,Manual,MPV,>1.000 - 1.500 cc,,Carsentro Yogyakarta
Banguntapan,2022-12-07T16:33:11+0000,Toyota kijang Super th 94,40000000.0,Toyota,Kijang Super,1.5 Bensin-MT,1994,50.000-55.000,Bensin,Biru,Manual,MPV,>1.000 - 1.500 cc,Individu,Carsentro Yogyakarta
Banguntapan,2022-12-07T15:02:31+0000,(TDP 45 Jt) Fortuner VRZ GR Sport AT 2021,510000000.0,Toyota,Fortuner,2.4 VRZ Solar-AT,2021,10.000-15.000,Diesel,Hitam,Automatic,SUV,>2.000 - 3.000 cc,Diler,
Kasihan,2022-12-07T13:40:25+0000,TOYOTA AVANZA 2011 TGN PERTAMA,100000000.0,Toyota,Avanza,1.3 G Bensin-MT,2011,200.000-205.000,Bensin,Merah,Manual,MPV,>1.000 - 1.500 cc,Individu,
Banguntapan,2022-12-07T10:20:39+0000,RUSH S 2012 MANUAL ASLI AD TANGAN 1,143000000.0,Toyota,Rush,1.5 S Bensin-MT,2012,140.000-145.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Pleret,2022-12-07T04:31:42+0000,Toyota Kijang Innova 2005 Bensin,80000000.0,Toyota,Kijang Innova,2.0 Bensin-MT,2005,290.000-295.000,Bensin,Silver,Manual,Minibus,>1.500 - 2.000 cc,Individu,
Pleret,2022-12-07T04:03:28+0000,Toyota Avanza 2017 Bensin. Manual,138500000.0,Toyota,Avanza,1.3 E Bensin-MT,2017,45.000-50.000,Bensin,Merah,Manual,,,Individu,
Banguntapan,2022-12-07T03:05:52+0000,All new Avanza G 1.3 MT,126000000.0,Toyota,Avanza,1.3 G Bensin-MT,2013,125.000-130.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Diler,
Piyungan,2022-12-06T09:31:56+0000,Jual mobil rush,148000000.0,Toyota,Rush,1.5 G Bensin-AT,2014,155.000-160.000,Bensin,Silver,Automatic,SUV,>1.000 - 1.500 cc,Individu,
Banguntapan,2022-12-06T09:15:33+0000,Toyota Yaris 2008 Bensin,120000000.0,Toyota,Yaris,1.5 S Limited Bensin-AT,2008,140.000-145.000,Bensin,Merah,Automatic,,>1.000 - 1.500 cc,Individu,
Piyungan,2022-12-06T03:20:12+0000,(dp25jt) km96rb avanza g 2005 apikan,89000000.0,Toyota,Avanza,1.3 G Bensin-MT,2005,90.000-95.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Diler,
Kasihan,2022-12-06T02:59:35+0000,"Toyota Vios 2007 tipe G Matic, keyless smart key, tangan 1, Plat AB.",86000000.0,Toyota,Vios,1.5 G Bensin-AT,2007,>300.000,Bensin,Hitam,Automatic,Sedan,>1.000 - 1.500 cc,Individu,
Banguntapan,2022-12-05T17:16:39+0000,(TDP 18 Jt)All New Fortuner VRZ AT 2016,375000000.0,Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2016,70.000-75.000,Diesel,Hitam,Automatic,SUV,>2.000 - 3.000 cc,Diler,
Kasihan,2022-12-03T03:14:40+0000,[DP 23 JUTA] TOYOTA RUSH GR SPORT AT MATIC 2021,255000000.0,Toyota,Rush,1.5 S GR Sport Bensin-AT,2021,10.000-15.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Sewon,2022-11-30T03:04:47+0000,Toyota Corolla 1992 Bensin,50000000.0,Toyota,Corolla,1.6 AE Bensin-MT,1992,115.000-120.000,Bensin,Silver,Manual,,,Individu,
Kasihan,2022-11-29T22:35:08+0000,Agya Trds 2016 istimewa,100000000.0,Toyota,Agya,1.0 G TRD Sportivo Bensin-MT,2016,40.000-45.000,Bensin,Hitam,Manual,Hatchback,<1.000 cc,Individu,Carsentro Yogyakarta
Sewon,2022-11-29T19:10:37+0000,DIJUAL SATSET | YARIS TRD RARE COLOR | WARNA LANGKA,172000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-AT,2014,70.000-75.000,Bensin,Biru,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Sewon,2022-11-29T05:35:28+0000,Toyota Innova Reborn V Diesel Manual (MT) 2021 AB Jogja,412500000.0,Toyota,Kijang Innova,2.4 V Solar-MT,2021,30.000-35.000,Diesel,Putih,Manual,MPV,>2.000 - 3.000 cc,Individu,
Kasihan,2022-11-29T00:49:21+0000,"INOVA 2009 , 178 .000.000",178000000.0,Toyota,Kijang Innova,2.4 G Solar-AT,2009,85.000-90.000,Diesel,Biru,Automatic,Minibus,,Individu,
Kasihan,2022-11-26T06:03:08+0000,TOYOTA AVANZA G MANUAL,91000000.0,Toyota,Avanza,toyota-avanza-67429-g,2007,205.000-210.000,Bensin,Coklat,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Kasihan,2022-11-23T07:25:06+0000,Toyota twincamp 1989,25000000.0,Toyota,Corolla,1.6 SEJ 16 Bensin,1989,190.000-195.000,Bensin,Silver,Manual,Sedan,>1.000 - 1.500 cc,Individu,
Sewon,2022-10-07T05:39:16+0000,TOYOTA NAV 1 V LIMITED,199500000.0,Toyota,Nav1,nav1-2.0-v-luxury-bensin,2014,120.000-125.000,Bensin,Putih,Manual,MPV,>1.500 - 2.000 cc,Diler,
Pandak,2022-12-13T00:29:51+0000,Toyota Yaris 2007 tipe s matic,98500000.0,Toyota,Yaris,1.5 S Bensin-AT,2007,165.000-170.000,Hybrid,Silver,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Imogiri,2022-12-12T14:31:42+0000,Toyota corolla DX 81 plat G off,16750000.0,Toyota,Corolla,1.3 DX Bensin-MT,<1986,0-5.000,Bensin,Marun,Manual,Sedan,>1.000 - 1.500 cc,Individu,
Bantul,2022-12-11T03:35:42+0000,Yaris S Matic 2007 Ritrek,95000000.0,Toyota,Yaris,1.5 S Bensin-AT,2007,140.000-145.000,Bensin,Silver,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,
Jetis,2022-12-11T02:25:38+0000,Camry V 2004 Matic orsnil istmewa sprt br km 63 rb record Bs TT Kredit,99500000.0,Toyota,Camry,2.4 V Bensin-AT,2004,65.000-70.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Jetis,2022-12-11T02:09:18+0000,Vellfire G Limited 2015 AB asli 1 dr baru orsinil istmwa Bs TT Kredit,795000000.0,Toyota,Vellfire,2.5 G Limited Bensin-AT,2015,65.000-70.000,Bensin,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Bantul,2022-12-10T03:11:42+0000,Kijang 2.0 Krista bensin A/T 2002,99000000.0,Toyota,Kijang,2.0 Krista Bensin-AT,2022,75.000-80.000,Bensin,Silver,Automatic,,,,
Bantul,2022-12-06T06:01:20+0000,Allnew avanza 2014 antik,145500000.0,Toyota,Avanza,1.3 G Bensin-MT,2014,5.000-10.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Individu,
Imogiri,2022-12-06T04:27:39+0000,Toyota Avanza tipe G 2016 Bensin,151000000.0,Toyota,Avanza,1.3 G Bensin-MT,2016,65.000-70.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Bantul,2022-12-06T03:37:01+0000,[Dp 20 Jt] Toyota Sienta V Matic 2018 // Mobil Siap Pakai,188000000.0,Toyota,Sienta,1.5 V Bensin-AT,2018,40.000-45.000,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Bantul,2022-12-05T11:57:11+0000,Toyota Rush TRD S Manual,228000000.0,Toyota,Rush,1.5 TRD Sportivo 7 Bensin-MT,2019,50.000-55.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Individu,Carsentro Yogyakarta
Sedayu,2022-12-05T10:07:09+0000,Jual Kijang Innova,425500000.0,Toyota,Kijang Innova,2.4 V Solar-AT,2021,15.000-20.000,Diesel,Silver,Automatic,SUV,>2.000 - 3.000 cc,Individu,
Banguntapan,2022-12-05T07:28:17+0000,Jual Camry 3.0 V,110000000.0,Toyota,Camry,3.0 V Bensin-AT,2003,115.000-120.000,Bensin,Hitam,Automatic,Sedan,>3.000 cc,Individu,
Banguntapan,2022-12-04T15:29:54+0000,(KM 80 Rb) Grand Innova 2.5 G Diesel AT 2014/2015,240000000.0,Toyota,Kijang Innova,2.5 G Solar-AT,2014,80.000-85.000,Diesel,Abu-abu,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Bantul,2022-12-04T11:02:28+0000,Toyota Alphard th 2004 2.4 original,141000000.0,Toyota,Alphard,2.5 G Bensin-AT,2004,110.000-115.000,Bensin,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Individu,Carsentro Yogyakarta
Banguntapan,2022-12-04T09:40:07+0000,(TDP 38 Jt) Innova Reborn 2.4 G Diesel AT 2018,325000000.0,Toyota,Kijang Innova,2.4 G Solar-AT,2018,70.000-75.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Diler,
Banguntapan,2022-12-03T19:12:44+0000,Dp 13Jt TOYOTA AVANZA S 2008 MT/ AVANZA 1.5 MANUAL,98000000.0,Toyota,Avanza,1.5 S Bensin-MT,2009,95.000-100.000,Bensin,Hitam,Manual,Minibus,>1.000 - 1.500 cc,,
Bantul,2022-12-03T09:34:52+0000,Agya gr sport 1200 cc th 2022 bln Maret harga nego,155000000.0,Toyota,Agya,1.2 GR Sport Bensin-MT,2022,0-5.000,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,
Banguntapan,2022-12-03T04:14:03+0000,TOYOTA CALYA G AT MATIC 2017,120000000.0,Toyota,Calya,1.2 G Bensin-AT,2017,85.000-90.000,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,
Bambang Lipuro,2022-12-03T03:02:16+0000,TOYOTA AGYA TRD SPORTIVO AT MATIC 2020,137000000.0,Toyota,Agya,1.2 TRD Sportivo Bensin-AT,2020,55.000-60.000,Bensin,Putih,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,
Banguntapan,2022-12-02T15:44:21+0000,(TDP 5 Jt) All New Vios G MT 2015,135000000.0,Toyota,Vios,1.5 G Bensin-MT,2015,110.000-115.000,Bensin,Hitam,Manual,Sedan,>1.000 - 1.500 cc,Diler,
Pleret,2022-12-02T11:48:08+0000,(Dp30) inova e up g km 97ribu,133000000.0,Toyota,Kijang Innova,2.0 G Bensin-MT,2011,90.000-95.000,Bensin,Silver,Manual,MPV,>1.500 - 2.000 cc,Individu,
Jetis,2022-12-02T10:01:22+0000,Toyota Avanza 2016 Hybrid,140000000.0,Toyota,Avanza,1.3 E Bensin-MT,2016,65.000-70.000,Hybrid,Hitam,Manual,,,Individu,
Banguntapan,2022-12-01T08:10:37+0000,Toyota Rush G 2014,152000000.0,Toyota,Rush,1.5 G Bensin-MT,2014,40.000-45.000,Bensin,Putih,Manual,Jeep,>1.000 - 1.500 cc,Individu,
Banguntapan,2022-12-01T03:13:14+0000,RUSH TRD Sportivo,225000000.0,Toyota,Rush,1.5 TRD Sportivo Bensin-AT,2019,25.000-30.000,Bensin,Abu-abu,Automatic,MPV,>1.000 - 1.500 cc,Individu,
Pleret,2022-11-30T11:27:25+0000,(Dp35) avansa g manual 2019,172000000.0,Toyota,Avanza,1.3 G Bensin-MT,2019,75.000-80.000,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,
Pleret,2022-11-30T08:50:46+0000,Inova bensin manual km 52ribu,208000000.0,Toyota,Kijang Innova,2.0 G Bensin-MT,2015,45.000-50.000,Bensin,Hitam,Manual,MPV,>1.500 - 2.000 cc,Individu,
Pleret,2022-11-30T08:45:28+0000,Inova diesel manual km asli 14ribu,345000000.0,Toyota,Kijang Innova,2.4 G Solar-MT,2020,10.000-15.000,Diesel,Abu-abu,Manual,MPV,>2.000 - 3.000 cc,Individu,
Pleret,2022-11-30T08:37:29+0000,Avansa g manual km asli 5ribu,212000000.0,Toyota,Avanza,1.3 G Bensin-MT,2021,0-5.000,Bensin,Putih,Manual,MPV,>1.000 - 1.500 cc,Individu,
Jetis,2022-11-30T02:56:43+0000,Toyota Kijang 1997 Hybrid,55000000.0,Toyota,Kijang,1.5 KF70 Bensin-MT,1997,135.000-140.000,Hybrid,Hijau,Manual,,,Individu,
